[2025-10-26 23:39:10,539] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-26 23:39:39,297] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:39,349] INFO django.server — "GET /static/css/admin_custom.css HTTP/1.1" 304 0
[2025-10-26 23:39:40,253] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:41,050] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:41,581] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:42,020] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:42,455] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:42,904] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:43,326] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:43,803] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:44,211] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:44,641] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:48,403] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:48,897] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:50,099] INFO django.server — "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
[2025-10-26 23:39:50,138] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:39:55,997] WARNING django.security.csrf — Forbidden (CSRF token from POST incorrect.): /admin/logout/
[2025-10-26 23:39:55,997] WARNING django.server — "POST /admin/logout/ HTTP/1.1" 403 2508
[2025-10-26 23:40:06,878] WARNING django.security.csrf — Forbidden (CSRF token from POST incorrect.): /admin/logout/
[2025-10-26 23:40:06,878] WARNING django.server — "POST /admin/logout/ HTTP/1.1" 403 2508
[2025-10-26 23:40:12,468] INFO django.server — "GET /admin HTTP/1.1" 301 0
[2025-10-26 23:40:12,494] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:40:16,344] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:40:17,112] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:40:17,713] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:40:18,149] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:40:24,477] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-26 23:40:28,425] WARNING django.request — Not Found: /
[2025-10-26 23:40:28,427] WARNING django.server — "GET / HTTP/1.1" 404 3462
[2025-10-26 23:40:42,443] INFO django.server — "GET /admin HTTP/1.1" 301 0
[2025-10-26 23:40:42,502] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-26 23:40:42,575] INFO django.server — "GET /static/jazzmin/css/main.css HTTP/1.1" 200 16969
[2025-10-26 23:40:42,894] INFO django.server — "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 156400
[2025-10-26 23:40:49,261] INFO django.server — "POST /admin/logout/ HTTP/1.1" 302 0
[2025-10-26 23:40:49,270] INFO django.server — "GET /admin/login/ HTTP/1.1" 200 3082
[2025-10-26 23:40:54,998] INFO django.server — "GET /admin/login/ HTTP/1.1" 200 3082
[2025-10-26 23:40:55,656] INFO django.server — "GET /admin/login/ HTTP/1.1" 200 3082
